fiber_node;address;coordinate
FWS115;MLATIHARJO AREA (4);-6.96388,110.441298
FWS112;MANYARAN AREA (9);-7.001633,110.38254
FSU003;PONDOK HASANUDIN (1);-6.964492,110.413591
FSU004;PONDOK HASANUDIN (2);-6.962582,110.414938
FWS071;PEKUNDEN AREA (2);-6.985027,110.414133
FBL052;SRIWIDODO AREA (4);-7.002506,110.3716209
FWS114;MLATIHARJO AREA (3);-6.966154,110.442067
FWS129;BUGANGAN AREA (4);-6.971147,110.436867
FWS128;BUGANGAN AREA (3);-6.97156,110.43627
FSU005;KROBOKAN AREA (1);-6.976188,110.400115
FSU006;KROBOKAN AREA (2);-6.976127,110.397489
FSU007;KROBOKAN AREA (3);-6.973409,110.398409
FSU008;KROBOKAN AREA (4);-6.972284,110.396688
FSU013;KROBOKAN AREA (5);-6.975211,110.39739
FSU018;KROBOKAN AREA (6);-6.97051,110.400133
FSU021;KROBOKAN AREA (8);-6.97396,110.394362
FWS018;BOJONG SALAMAN AREA (4);-6.985269,110.39895
FSU020;KROBOKAN AREA (7);-6.971817,110.396936
FWS116;LAMPER LOR AREA (3);-7.002686,110.438789
FWS126;BOJONG SALAMAN AREA (5);-6.9877231,110.4006366
FWS119;BUGANGAN AREA (2);-6.972564,110.437909
FBL049;SUBALI AREA (1);-6.983452,110.369081
FWS130;JATINGALEH AREA (4);-7.027701,110.422215
FWS100;JATINGALEH AREA (3);-7.031011,110.422655
FSU017;PANGGUNG LOR AREA (6);-6.955941,110.408434
FSU001;PONDOK INDRAPRASTA (1);-6.969442,110.408959
FSU002;PONDOK INDRAPRASTA (2);-6.972277,110.408287
FSU011;PLOMBOKAN AREA (1);-6.971685,110.410894
FSU009;PANGGUNG LOR AREA (1);-6.9591613,110.4079661
FSU016;PANGGUNG LOR AREA (5);-6.956687,110.408514
FSU019;PANGGUNG LOR AREA (7);-6.960756,110.407635
FSU014;PANGGUNG LOR AREA (3);-6.955982,110.402794
FSU015;PANGGUNG LOR AREA (4);-6.957171,110.404018
FWS106;LAMPER TENGAH AREA (5);-7.005184,110.445076
FWS135;BUGANGAN AREA (5);-6.9722191,110.4399907
FWS136;BUGANGAN AREA (6);-6.9737817,110.4398939
FWS138;MLATIHARJO AREA (5);-6.9651242,110.4404935
FBL035;GRAHA BERINGIN MAS (1);-6.99805,110.323265
FBL036;GRAHA BERINGIN MAS (2);-6.998373,110.322012
